"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_delete_missing_item_returns_404","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","7","test_delete_item","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","3","test_update_missing_item_returns_404","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","2","test_get_missing_item_returns_404","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","2","test_create_name_wrong_type_returns_422","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","17","test_update_duplicate_name_returns_409","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","0","test_create_item_returns_id","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","1","test_create_missing_required_field_name_returns_422","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","12","test_create_duplicate_name_returns_409","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
"","3","test_get_item_by_id","tests.integration","2026-02-27","passed","2026-02-27","","test_api_items","",""
